NDC,ATC
0.9 MG/ML Sodium Chloride,ALL OTHER THERAPEUTIC PRODUCTS
"heparin sodium, porcine 5000 UNT/ML Injectable Solution",ANTITHROMBOTIC AGENTS
"0.5 ML Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML / Influenza A virus vaccine, A-Texas-50-2012 X-223A (H3N2), Inactivated 0.03 MG/ML / Influenza B virus vaccine, B-Brisbane-60-2008-like virus 0.03 MG/ML / Influenza B virus",VIRAL VACCINES
Potassium Chloride 10 MEQ Extended Release Oral Tablet [Klor-Con],POTASSIUM SUPPLEMENTS
spironolactone 25 MG Oral Tablet,POTASSIUM-SPARING DIURETICS
furosemide 20 MG Oral Tablet,HIGH-CEILING DIURETICS
Acetaminophen 500 MG Oral Tablet [Mapap],OTHER ANALGESICS AND ANTIPYRETICS in ATC
raltegravir 400 MG Oral Tablet [Isentress],DIRECT ACTING ANTIVIRALS
NDA020983 60 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],"ADRENERGICS, INHALANTS"
emtricitabine 200 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet [Truvada],DIRECT ACTING ANTIVIRALS
24 HR nicotine 0.583 MG/HR Transdermal System [Nicoderm C-Q],DRUGS USED IN ADDICTIVE DISORDERS
ipratropium bromide 0.2 MG/ML Inhalation Solution,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
furosemide 40 MG Oral Tablet,HIGH-CEILING DIURETICS
rifaximin 550 MG Oral Tablet [XIFAXAN],INTESTINAL ANTIINFECTIVES
Lactulose 667 MG/ML Oral Solution,DRUGS FOR CONSTIPATION
calcium carbonate 1250 MG Oral Tablet,OTHER ANTIDIARRHEALS in ATC
sulfamethoxazole 800 MG / trimethoprim 160 MG Oral Tablet,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
tiotropium 0.018 MG Inhalation Powder [Spiriva],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
"50 ML albumin human, USP 250 MG/ML Injection",BLOOD AND RELATED PRODUCTS
tramadol hydrochloride 50 MG Oral Tablet,OPIOID ANALGESICS
calcium carbonate 500 MG Chewable Tablet,ANTACIDS
120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent],"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS in ATC"
50 ML glucose 500 MG/ML Prefilled Syringe,OTHER NUTRIENTS in ATC
"insulin, regular, human 100 UNT/ML Injectable Solution [Humulin R]",INSULINS AND ANALOGUES
sodium polystyrene sulfonate 250 MG/ML Oral Suspension [SPS],OTHER DIAGNOSTIC AGENTS in ATC
Calcium Gluconate 20 MG/ML Injectable Solution,ALL OTHER THERAPEUTIC PRODUCTS
1 ML morphine sulfate 2 MG/ML Cartridge,OPIOID ANALGESICS
Trazodone Hydrochloride 50 MG Oral Tablet,ANTIDEPRESSANTS
zolpidem tartrate 5 MG Oral Tablet,HYPNOTICS AND SEDATIVES
"sennosides, USP 8.6 MG Oral Tablet",DRUGS FOR CONSTIPATION
docusate sodium 10 MG/ML Oral Suspension,DRUGS FOR CONSTIPATION
bisacodyl 5 MG Delayed Release Oral Tablet,DRUGS FOR CONSTIPATION
bisacodyl 10 MG Rectal Suppository,DRUGS FOR CONSTIPATION
Albuterol 0.83 MG/ML Inhalant Solution,"ADRENERGICS, INHALANTS"
"sennosides, USP 1.76 MG/ML Oral Solution",DRUGS FOR CONSTIPATION
polyethylene glycol 3350 17000 MG Powder for Oral Solution [Miralax],DRUGS FOR CONSTIPATION
pramipexole dihydrochloride 0.25 MG Oral Tablet,DOPAMINERGIC AGENTS
pramipexole dihydrochloride 0.125 MG Oral Tablet,DOPAMINERGIC AGENTS
rasagiline 0.5 MG Oral Tablet [Azilect],DOPAMINERGIC AGENTS
pravastatin sodium 40 MG Oral Tablet,"LIPID MODIFYING AGENTS, PLAIN"
quetiapine 25 MG Oral Tablet,ANTIPSYCHOTICS
