code,code_name
151,OTHER LIVER DISEASES
6,HEPATITIS
127,CHRONIC OBSTRUCTIVE PULMONARY DISEASE AND BRONCHIECTASIS
657,MOOD DISORDERS
651,ANXIETY DISORDERS
663,SCREENING AND HISTORY OF MENTAL HEALTH AND SUBSTANCE ABUSE CODES
62,COAGULATION AND HEMORRHAGIC DISORDERS
55,FLUID AND ELECTROLYTE DISORDERS
5,HIV INFECTION
131,RESPIRATORY FAILURE; INSUFFICIENCY; ARREST (ADULT)
155,OTHER GASTROINTESTINAL DISORDERS
238,COMPLICATIONS OF SURGICAL PROCEDURES OR MEDICAL CARE
52,NUTRITIONAL DEFICIENCIES
259,RESIDUAL CODES; UNCLASSIFIED
660,ALCOHOL-RELATED DISORDERS
653,DELIRIUM
89,BLINDNESS AND VISION DEFECTS
211,OTHER CONNECTIVE TISSUE DISEASE
53,DISORDERS OF LIPID METABOLISM
29,CANCER OF PROSTATE
79,PARKINSON`S DISEASE
137,DISEASES OF MOUTH; EXCLUDING DENTAL
136,DISORDERS OF TEETH AND JAW
117,OTHER CIRCULATORY DISEASE
141,OTHER DISORDERS OF STOMACH AND DUODENUM
138,ESOPHAGEAL DISORDERS
143,ABDOMINAL HERNIA
96,HEART VALVE DISORDERS
206,OSTEOPOROSIS
226,FRACTURE OF NECK OF FEMUR (HIP)
2603,E CODES: FALL
2620,E CODES: UNSPECIFIED
2621,E CODES: PLACE OF OCCURRENCE
84,HEADACHE; INCLUDING MIGRAINE
160,CALCULUS OF URINARY TRACT
257,OTHER AFTERCARE
239,SUPERFICIAL INJURY; CONTUSION
59,DEFICIENCY AND OTHER ANEMIA
197,SKIN AND SUBCUTANEOUS TISSUE INFECTIONS
33,CANCER OF KIDNEY AND RENAL PELVIS
1,TUBERCULOSIS
106,CARDIAC DYSRHYTHMIAS
49,DIABETES MELLITUS WITHOUT COMPLICATION
98,ESSENTIAL HYPERTENSION
193,OB-RELATED TRAUMA TO PERINEUM AND VULVA
195,OTHER COMPLICATIONS OF BIRTH; PUERPERIUM AFFECTING MANAGEMENT OF MOTHER
181,OTHER COMPLICATIONS OF PREGNANCY
196,OTHER PREGNANCY AND DELIVERY INCLUDING NORMAL
10,IMMUNIZATIONS AND SCREENING FOR INFECTIOUS DISEASE
228,SKULL AND FACE FRACTURES
100,ACUTE MYOCARDIAL INFARCTION
157,ACUTE AND UNSPECIFIED RENAL FAILURE
245,SYNCOPE
