code,code_name
B01A,ANTITHROMBOTIC AGENTS
J07B,VIRAL VACCINES
A12B,POTASSIUM SUPPLEMENTS
C03D,POTASSIUM-SPARING DIURETICS
C03C,HIGH-CEILING DIURETICS
N02B,OTHER ANALGESICS AND ANTIPYRETICS IN ATC
J05A,DIRECT ACTING ANTIVIRALS
R03A,"ADRENERGICS, INHALANTS"
N07B,DRUGS USED IN ADDICTIVE DISORDERS
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS IN ATC"
A07A,INTESTINAL ANTIINFECTIVES
A06A,DRUGS FOR CONSTIPATION
A07X,OTHER ANTIDIARRHEALS IN ATC
J01E,SULFONAMIDES AND TRIMETHOPRIM ANTIBACTERIALS FOR SYSTEMIC USE
B05A,BLOOD AND RELATED PRODUCTS
N02A,OPIOID ANALGESICS
A02A,ANTACIDS
A12A,CALCIUM SUPPLEMENTS
V06D,OTHER NUTRIENTS IN ATC
A10A,INSULINS AND ANALOGUES
V04C,OTHER DIAGNOSTIC AGENTS IN ATC
N06A,ANTIDEPRESSANTS
N05C,HYPNOTICS AND SEDATIVES
N04B,DOPAMINERGIC AGENTS
C10A,"LIPID MODIFYING AGENTS, PLAIN"
N05A,ANTIPSYCHOTICS
N06D,ANTI-DEMENTIA DRUGS
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
J01D,OTHER BETA-LACTAM ANTIBACTERIALS IN ATC
A04A,ANTIEMETICS AND ANTINAUSEANTS
B05X,I.V. SOLUTION ADDITIVES
R02A,THROAT PREPARATIONS
B05B,"IV SOLUTIONS USED IN PARENTERAL ADMINISTRATION OF FLUIDS, ELECTROLYTES AND NUTRIENTS"
C05B,ANTIVARICOSE THERAPY DRUGS
R06A,ANTIHISTAMINES FOR SYSTEMIC USE
G04B,UROLOGICALS
A03F,PROPULSIVES
M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
N05B,ANXIOLYTICS
H04A,GLYCOGENOLYTIC HORMONES
C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
H01B,POSTERIOR PITUITARY LOBE HORMONES
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
B03A,IRON ANTIANEMIC PREPARATIONS
C07A,BETA BLOCKING AGENTS
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS"
A09A,"DIGESTIVES, INCL. ENZYMES"
A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
H03A,THYROID PREPARATIONS
B03B,VITAMIN B<N>12</N> AND FOLIC ACID
D01A,ANTIFUNGALS FOR TOPICAL USE
D11A,OTHER DERMATOLOGICAL PREPARATIONS IN ATC
C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
C03A,"LOW-CEILING DIURETICS, THIAZIDES"
C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
