code,code_name
88,ABDOMINAL PARACENTESIS
227,OTHER DIAGNOSTIC PROCEDURES
146,TREATMENT; FRACTURE OR DISLOCATION OF HIP AND FEMUR
104,NEPHRECTOMY; PARTIAL OR COMPLETE
49,OTHER OR HEART PROCEDURES
62,OTHER DIAGNOSTIC CARDIOVASCULAR PROCEDURES
140,REPAIR OF CURRENT OBSTETRIC LACERATION
83,BIOPSY OF LIVER
75,SMALL BOWEL RESECTION
90,EXCISION; LYSIS PERITONEAL ADHESIONS
70,UPPER GASTROINTESTINAL ENDOSCOPY; BIOPSY
45,PERCUTANEOUS TRANSLUMINAL CORONARY ANGIOPLASTY (PTCA)
63,OTHER NON-OR THERAPEUTIC CARDIOVASCULAR PROCEDURES
61,OTHER OR PROCEDURES ON VESSELS OTHER THAN HEAD AND NECK
47,DIAGNOSTIC CARDIAC CATHETERIZATION; CORONARY ARTERIOGRAPHY
9,OTHER OR THERAPEUTIC NERVOUS SYSTEM PROCEDURES
172,SKIN GRAFT
1,INCISION AND EXCISION OF CNS
4,DIAGNOSTIC SPINAL TAP
54,OTHER VASCULAR CATHETERIZATION; NOT HEART
137,OTHER PROCEDURES TO ASSIST DELIVERY
78,COLORECTAL RESECTION
76,COLONOSCOPY AND BIOPSY
112,OTHER OR THERAPEUTIC PROCEDURES OF URINARY TRACT
67,OTHER THERAPEUTIC PROCEDURES; HEMIC AND LYMPHATIC SYSTEM
124,HYSTERECTOMY; ABDOMINAL AND VAGINAL
125,OTHER EXCISION OF CERVIX AND UTERUS
119,OOPHORECTOMY; UNILATERAL AND BILATERAL
132,OTHER OR THERAPEUTIC PROCEDURES; FEMALE ORGANS
231,OTHER THERAPEUTIC PROCEDURES
223,ENTERAL AND PARENTERAL NUTRITION
110,OTHER DIAGNOSTIC PROCEDURES OF URINARY TRACT
100,ENDOSCOPY AND ENDOSCOPIC BIOPSY OF THE URINARY TRACT
102,URETERAL CATHETERIZATION
97,OTHER GASTROINTESTINAL DIAGNOSTIC PROCEDURES
98,OTHER NON-OR GASTROINTESTINAL THERAPEUTIC PROCEDURES
187,INTRAVENOUS PYELOGRAM
129,REPAIR OF CYSTOCELE AND RECTOCELE; OBLITERATION OF VAGINAL VAULT
216,RESPIRATORY INTUBATION AND MECHANICAL VENTILATION
50,EXTRACORPOREAL CIRCULATION AUXILIARY TO OPEN HEART PROCEDURES
